parameter,value,domain,congruency,par_class
mu_alphaV_con,0.120314,V,con,learning
mu_alphaV_inc,0.01293,V,inc,learning
mu_alphaP_con,0.05854,P,con,learning
mu_alphaP_inc,0.0139761,P,inc,learning
mu_alphaV_con,0.112657,V,con,learning
mu_alphaV_inc,0.0105098,V,inc,learning
mu_alphaP_con,0.0675714,P,con,learning
mu_alphaP_inc,0.0108597,P,inc,learning
mu_alphaV_con,0.127938,V,con,learning
mu_alphaV_inc,0.0145496,V,inc,learning
mu_alphaP_con,0.0631283,P,con,learning
mu_alphaP_inc,0.0145142,P,inc,learning
mu_alphaV_con,0.123682,V,con,learning
mu_alphaV_inc,0.0126838,V,inc,learning
mu_alphaP_con,0.061609,P,con,learning
mu_alphaP_inc,0.0145131,P,inc,learning
mu_alphaV_con,0.120721,V,con,learning
mu_alphaV_inc,0.0158811,V,inc,learning
mu_alphaP_con,0.0644644,P,con,learning
mu_alphaP_inc,0.0115204,P,inc,learning
mu_alphaV_con,0.119542,V,con,learning
mu_alphaV_inc,0.0118634,V,inc,learning
mu_alphaP_con,0.0643312,P,con,learning
mu_alphaP_inc,0.0137685,P,inc,learning
mu_alphaV_con,0.121008,V,con,learning
mu_alphaV_inc,0.0138438,V,inc,learning
mu_alphaP_con,0.0650041,P,con,learning
mu_alphaP_inc,0.0100676,P,inc,learning
mu_alphaV_con,0.127229,V,con,learning
mu_alphaV_inc,0.0138646,V,inc,learning
mu_alphaP_con,0.0620942,P,con,learning
mu_alphaP_inc,0.0122332,P,inc,learning
mu_alphaV_con,0.114773,V,con,learning
mu_alphaV_inc,0.011154,V,inc,learning
mu_alphaP_con,0.0609861,P,con,learning
mu_alphaP_inc,0.0112709,P,inc,learning
mu_alphaV_con,0.123224,V,con,learning
mu_alphaV_inc,0.0143821,V,inc,learning
mu_alphaP_con,0.0665258,P,con,learning
mu_alphaP_inc,0.0122766,P,inc,learning
mu_alphaV_con,0.117481,V,con,learning
mu_alphaV_inc,0.0118908,V,inc,learning
mu_alphaP_con,0.0680993,P,con,learning
mu_alphaP_inc,0.0124111,P,inc,learning
mu_alphaV_con,0.11594,V,con,learning
mu_alphaV_inc,0.0125764,V,inc,learning
mu_alphaP_con,0.0587287,P,con,learning
mu_alphaP_inc,0.0136172,P,inc,learning
mu_alphaV_con,0.119542,V,con,learning
mu_alphaV_inc,0.0133889,V,inc,learning
mu_alphaP_con,0.0670754,P,con,learning
mu_alphaP_inc,0.0115684,P,inc,learning
mu_alphaV_con,0.118401,V,con,learning
mu_alphaV_inc,0.0134443,V,inc,learning
mu_alphaP_con,0.0628872,P,con,learning
mu_alphaP_inc,0.0120545,P,inc,learning
mu_alphaV_con,0.1161,V,con,learning
mu_alphaV_inc,0.0138984,V,inc,learning
mu_alphaP_con,0.0644782,P,con,learning
mu_alphaP_inc,0.0120542,P,inc,learning
mu_alphaV_con,0.119848,V,con,learning
mu_alphaV_inc,0.0167728,V,inc,learning
mu_alphaP_con,0.0616877,P,con,learning
mu_alphaP_inc,0.0118343,P,inc,learning
mu_alphaV_con,0.11975,V,con,learning
mu_alphaV_inc,0.0103933,V,inc,learning
mu_alphaP_con,0.0629052,P,con,learning
mu_alphaP_inc,0.0121375,P,inc,learning
mu_alphaV_con,0.112541,V,con,learning
mu_alphaV_inc,0.0129996,V,inc,learning
mu_alphaP_con,0.0604529,P,con,learning
mu_alphaP_inc,0.0126956,P,inc,learning
mu_alphaV_con,0.120033,V,con,learning
mu_alphaV_inc,0.0111235,V,inc,learning
mu_alphaP_con,0.0639627,P,con,learning
mu_alphaP_inc,0.0118181,P,inc,learning
mu_alphaV_con,0.115435,V,con,learning
mu_alphaV_inc,0.0135904,V,inc,learning
mu_alphaP_con,0.0619249,P,con,learning
mu_alphaP_inc,0.0143193,P,inc,learning
mu_alphaV_con,0.115015,V,con,learning
mu_alphaV_inc,0.0142441,V,inc,learning
mu_alphaP_con,0.0622344,P,con,learning
mu_alphaP_inc,0.0104756,P,inc,learning
mu_alphaV_con,0.121562,V,con,learning
mu_alphaV_inc,0.014879,V,inc,learning
mu_alphaP_con,0.0614047,P,con,learning
mu_alphaP_inc,0.0113873,P,inc,learning
mu_alphaV_con,0.120106,V,con,learning
mu_alphaV_inc,0.0152287,V,inc,learning
mu_alphaP_con,0.0640874,P,con,learning
mu_alphaP_inc,0.0117511,P,inc,learning
mu_alphaV_con,0.116347,V,con,learning
mu_alphaV_inc,0.0134401,V,inc,learning
mu_alphaP_con,0.0617242,P,con,learning
mu_alphaP_inc,0.0112601,P,inc,learning
mu_alphaV_con,0.118937,V,con,learning
mu_alphaV_inc,0.0137232,V,inc,learning
mu_alphaP_con,0.0662758,P,con,learning
mu_alphaP_inc,0.0116562,P,inc,learning
mu_alphaV_con,0.122483,V,con,learning
mu_alphaV_inc,0.0126626,V,inc,learning
mu_alphaP_con,0.0617283,P,con,learning
mu_alphaP_inc,0.0122765,P,inc,learning
mu_alphaV_con,0.11019,V,con,learning
mu_alphaV_inc,0.0132179,V,inc,learning
mu_alphaP_con,0.063847,P,con,learning
mu_alphaP_inc,0.0128754,P,inc,learning
mu_alphaV_con,0.108056,V,con,learning
mu_alphaV_inc,0.0148395,V,inc,learning
mu_alphaP_con,0.0703154,P,con,learning
mu_alphaP_inc,0.0118603,P,inc,learning
mu_alphaV_con,0.115382,V,con,learning
mu_alphaV_inc,0.0152139,V,inc,learning
mu_alphaP_con,0.0686645,P,con,learning
mu_alphaP_inc,0.0116435,P,inc,learning
mu_alphaV_con,0.121189,V,con,learning
mu_alphaV_inc,0.00982371,V,inc,learning
mu_alphaP_con,0.0560693,P,con,learning
mu_alphaP_inc,0.0126735,P,inc,learning
mu_alphaV_con,0.118171,V,con,learning
mu_alphaV_inc,0.0134207,V,inc,learning
mu_alphaP_con,0.0542785,P,con,learning
mu_alphaP_inc,0.0109979,P,inc,learning
mu_alphaV_con,0.114735,V,con,learning
mu_alphaV_inc,0.0160754,V,inc,learning
mu_alphaP_con,0.0651703,P,con,learning
mu_alphaP_inc,0.0133371,P,inc,learning
mu_alphaV_con,0.12016,V,con,learning
mu_alphaV_inc,0.0120378,V,inc,learning
mu_alphaP_con,0.0616059,P,con,learning
mu_alphaP_inc,0.0142638,P,inc,learning
mu_alphaV_con,0.115154,V,con,learning
mu_alphaV_inc,0.0151483,V,inc,learning
mu_alphaP_con,0.065485,P,con,learning
mu_alphaP_inc,0.0126468,P,inc,learning
mu_alphaV_con,0.115094,V,con,learning
mu_alphaV_inc,0.0133392,V,inc,learning
mu_alphaP_con,0.0642072,P,con,learning
mu_alphaP_inc,0.0120286,P,inc,learning
mu_alphaV_con,0.118759,V,con,learning
mu_alphaV_inc,0.0119423,V,inc,learning
mu_alphaP_con,0.0650074,P,con,learning
mu_alphaP_inc,0.0118893,P,inc,learning
mu_alphaV_con,0.116148,V,con,learning
mu_alphaV_inc,0.0141102,V,inc,learning
mu_alphaP_con,0.0567337,P,con,learning
mu_alphaP_inc,0.0118922,P,inc,learning
mu_alphaV_con,0.11714,V,con,learning
mu_alphaV_inc,0.0137016,V,inc,learning
mu_alphaP_con,0.0619787,P,con,learning
mu_alphaP_inc,0.0124051,P,inc,learning
mu_alphaV_con,0.118605,V,con,learning
mu_alphaV_inc,0.0131648,V,inc,learning
mu_alphaP_con,0.0623112,P,con,learning
mu_alphaP_inc,0.0117136,P,inc,learning
mu_alphaV_con,0.116755,V,con,learning
mu_alphaV_inc,0.0137749,V,inc,learning
mu_alphaP_con,0.0654874,P,con,learning
mu_alphaP_inc,0.0111459,P,inc,learning
mu_alphaV_con,0.118975,V,con,learning
mu_alphaV_inc,0.0137074,V,inc,learning
mu_alphaP_con,0.0651552,P,con,learning
mu_alphaP_inc,0.0128646,P,inc,learning
mu_alphaV_con,0.118947,V,con,learning
mu_alphaV_inc,0.0127211,V,inc,learning
mu_alphaP_con,0.0636969,P,con,learning
mu_alphaP_inc,0.0121645,P,inc,learning
mu_alphaV_con,0.114354,V,con,learning
mu_alphaV_inc,0.0131452,V,inc,learning
mu_alphaP_con,0.0622946,P,con,learning
mu_alphaP_inc,0.0102755,P,inc,learning
mu_alphaV_con,0.116901,V,con,learning
mu_alphaV_inc,0.0116858,V,inc,learning
mu_alphaP_con,0.0663878,P,con,learning
mu_alphaP_inc,0.0106143,P,inc,learning
mu_alphaV_con,0.120085,V,con,learning
mu_alphaV_inc,0.0128474,V,inc,learning
mu_alphaP_con,0.0643862,P,con,learning
mu_alphaP_inc,0.0112333,P,inc,learning
mu_alphaV_con,0.118498,V,con,learning
mu_alphaV_inc,0.0126759,V,inc,learning
mu_alphaP_con,0.0638449,P,con,learning
mu_alphaP_inc,0.0111973,P,inc,learning
mu_alphaV_con,0.111041,V,con,learning
mu_alphaV_inc,0.0138389,V,inc,learning
mu_alphaP_con,0.0619613,P,con,learning
mu_alphaP_inc,0.0132988,P,inc,learning
mu_alphaV_con,0.120764,V,con,learning
mu_alphaV_inc,0.0113002,V,inc,learning
mu_alphaP_con,0.0661044,P,con,learning
mu_alphaP_inc,0.0118104,P,inc,learning
mu_alphaV_con,0.112215,V,con,learning
mu_alphaV_inc,0.0133111,V,inc,learning
mu_alphaP_con,0.0595569,P,con,learning
